Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100065,Male,No,2,Graduate,Yes,44882,9294,312,180,0.0,Rural,N
LP100066,Female,Yes,2,Not Graduate,No,4249,23796,299,120,0.0,Rural,N
LP100067,Male,No,2,Not Graduate,No,41367,18058,479,60,0.0,Urban,N
LP100068,Female,Yes,0,Graduate,No,1170,24818,158,360,1.0,Urban,Y
LP100069,Male,No,2,Not Graduate,Yes,3856,66,543,60,0.0,Semiurban,Y
LP100070,Female,No,0,Not Graduate,No,40268,16798,589,120,1.0,Rural,Y
LP100071,Female,No,1,Not Graduate,Yes,23467,21660,333,60,0.0,Semiurban,N
LP100072,Female,No,0,Not Graduate,No,39520,7960,362,120,1.0,Urban,N
LP100073,Female,Yes,2,Not Graduate,No,39914,10897,630,120,1.0,Urban,Y
LP100074,Male,No,1,Not Graduate,Yes,10256,26961,598,120,1.0,Urban,Y
LP100075,Female,No,3+,Graduate,No,22586,14088,515,360,1.0,Semiurban,Y
LP100076,Female,No,2,Not Graduate,No,32588,28569,205,60,,Rural,N
LP100077,Male,No,2,Graduate,No,31551,24296,450,360,1.0,Urban,Y
LP100078,Female,Yes,2,Graduate,No,32687,6306,448,60,1.0,Semiurban,N
LP100079,Male,No,0,Graduate,No,18680,7310,692,360,,Urban,Y
LP100080,Male,Yes,2,Not Graduate,Yes,34599,26713,364,120,1.0,Urban,N
LP100081,Male,Yes,2,Graduate,Yes,38286,27986,405,360,0.0,Semiurban,Y
LP100082,Female,Yes,1,Not Graduate,No,22402,28964,219,60,1.0,Rural,Y
LP100083,Male,Yes,2,Graduate,Yes,26244,15188,143,120,0.0,Semiurban,Y
LP100084,Male,Yes,1,Not Graduate,Yes,7977,7556,297,60,1.0,Rural,Y
LP100085,Female,No,0,Not Graduate,No,37127,16083,342,180,0.0,Urban,N
LP100086,Male,No,2,Not Graduate,Yes,46793,13582,181,60,0.0,Rural,N
LP100087,Female,Yes,2,Not Graduate,Yes,15633,8499,697,360,0.0,Semiurban,Y
LP100088,Male,No,0,Not Graduate,Yes,45579,11676,398,120,0.0,Rural,N
LP100089,Male,Yes,2,Not Graduate,Yes,29995,13526,308,360,0.0,Rural,Y
LP100090,Female,No,3+,Graduate,Yes,40969,21446,588,360,0.0,Semiurban,Y
LP100091,Male,Yes,0,Not Graduate,Yes,19147,21101,368,60,0.0,Urban,N
LP100092,Female,Yes,3+,Graduate,No,29647,23041,398,360,0.0,Semiurban,Y
LP100093,Female,No,3+,Graduate,No,45320,20524,557,180,1.0,Semiurban,N
LP100094,Female,Yes,3+,Graduate,No,21427,18159,264,180,,Urban,Y
LP100095,Female,Yes,3+,Graduate,No,42076,20222,545,60,,Rural,Y
LP100096,Female,No,1,Graduate,Yes,3482,26778,572,360,1.0,Semiurban,Y
LP100097,Female,No,2,Not Graduate,No,41965,588,675,120,0.0,Rural,N
LP100098,Male,No,1,Not Graduate,Yes,49541,7552,54,360,1.0,Rural,Y
LP100099,Female,Yes,0,Graduate,Yes,26592,19698,120,180,1.0,Rural,Y
LP100100,Male,No,0,Not Graduate,Yes,7582,13054,658,120,0.0,Urban,N
LP100101,Female,Yes,1,Not Graduate,No,2882,26590,187,120,0.0,Semiurban,N
LP100102,Male,Yes,3+,Graduate,No,23520,7531,647,60,1.0,Semiurban,N
LP100103,Male,No,1,Not Graduate,Yes,2905,18951,418,60,0.0,Rural,N
LP100104,Female,No,1,Graduate,No,26403,5143,337,180,0.0,Urban,N
LP100105,Male,Yes,1,Graduate,Yes,45592,9004,579,60,0.0,Rural,N
LP100106,Female,Yes,1,Not Graduate,Yes,15484,21563,78,180,1.0,Urban,Y
LP100107,Male,Yes,0,Not Graduate,No,30143,25086,437,180,0.0,Rural,N
LP100108,Female,Yes,0,Graduate,No,19405,11586,687,360,0.0,Rural,Y
LP100109,Female,Yes,1,Graduate,Yes,23566,12602,469,120,1.0,Semiurban,Y
LP100110,Male,Yes,3+,Graduate,No,41480,13017,508,360,0.0,Semiurban,N
LP100111,Male,No,3+,Not Graduate,Yes,15356,20321,566,120,0.0,Urban,Y
LP100112,Female,Yes,2,Graduate,No,16828,8787,462,120,1.0,Semiurban,N
LP100113,Female,Yes,1,Not Graduate,Yes,38225,20109,529,120,0.0,Urban,N
LP100114,Male,Yes,3+,Not Graduate,Yes,12959,21224,365,180,1.0,Rural,N
LP100115,Male,No,3+,Not Graduate,Yes,13262,4410,148,60,,Semiurban,N
LP100116,Female,No,0,Graduate,No,14338,8495,673,120,0.0,Semiurban,Y
LP100117,Female,Yes,1,Graduate,No,33885,22639,395,120,1.0,Semiurban,N
LP100118,Male,Yes,0,Not Graduate,No,26713,7644,484,120,0.0,Rural,Y
LP100119,Female,Yes,0,Not Graduate,Yes,27938,18864,269,360,1.0,Urban,N
LP100120,Male,Yes,1,Graduate,No,19480,1788,215,360,1.0,Rural,N
LP100121,Female,Yes,2,Not Graduate,No,7804,27673,85,180,1.0,Urban,Y
LP100122,Female,No,0,Not Graduate,No,11241,29390,216,60,0.0,Urban,N
LP100123,Male,Yes,0,Graduate,Yes,17310,22566,639,360,1.0,Rural,N
LP100124,Male,Yes,1,Graduate,No,11089,16175,645,120,0.0,Semiurban,N
LP100125,Male,Yes,2,Graduate,Yes,30556,23847,488,180,0.0,Urban,Y
LP100126,Male,Yes,3+,Not Graduate,Yes,14260,2269,401,120,1.0,Semiurban,N
LP100127,Male,Yes,0,Graduate,Yes,12667,17793,420,180,1.0,Rural,Y
LP100128,Male,No,1,Graduate,No,20121,11611,272,120,,Semiurban,N
LP100129,Male,Yes,3+,Graduate,Yes,29407,2052,274,180,1.0,Urban,Y
LP100130,Male,No,1,Graduate,No,41192,27548,478,180,0.0,Semiurban,Y
LP100131,Male,No,0,Not Graduate,Yes,4152,6002,342,360,,Rural,N
LP100132,Female,Yes,0,Graduate,No,37593,6505,505,60,0.0,Urban,N
LP100133,Female,No,2,Not Graduate,Yes,45913,14018,647,120,1.0,Urban,N
LP100134,Female,No,0,Graduate,No,1646,11769,460,360,1.0,Rural,Y
LP100135,Male,Yes,2,Not Graduate,Yes,48243,8064,656,180,1.0,Rural,Y
LP100136,Male,No,1,Graduate,No,36668,353,683,180,1.0,Rural,Y
LP100137,Male,Yes,3+,Graduate,Yes,33492,14729,537,180,0.0,Semiurban,N
LP100138,Male,Yes,0,Graduate,Yes,44572,19497,199,180,1.0,Rural,Y
LP100139,Male,No,2,Graduate,Yes,26687,2876,458,60,0.0,Rural,N
LP100140,Male,Yes,1,Not Graduate,No,28377,19093,495,120,1.0,Urban,N
LP100141,Male,No,2,Graduate,No,30611,21369,658,180,0.0,Rural,Y
LP100142,Female,No,3+,Not Graduate,Yes,25305,2342,424,360,1.0,Semiurban,N
LP100143,Male,Yes,0,Not Graduate,No,19929,17965,552,120,,Semiurban,Y
LP100144,Male,No,3+,Graduate,Yes,8886,22993,275,360,1.0,Urban,N
LP100145,Female,No,0,Not Graduate,No,22026,25232,265,60,0.0,Rural,N
LP100146,Female,No,2,Not Graduate,Yes,45101,28860,596,120,0.0,Urban,Y
LP100147,Male,Yes,2,Not Graduate,No,11933,13205,200,120,0.0,Urban,N
LP100148,Female,Yes,2,Graduate,No,26428,17630,55,180,1.0,Semiurban,N
LP100149,Male,No,2,Not Graduate,Yes,26484,880,585,180,1.0,Urban,Y
LP100150,Male,Yes,0,Not Graduate,No,3877,5232,117,180,0.0,Urban,Y
LP100151,Female,No,0,Graduate,Yes,25517,3196,118,60,0.0,Semiurban,N
LP100152,Male,Yes,1,Not Graduate,Yes,47210,25128,172,120,1.0,Urban,Y
LP100153,Female,Yes,3+,Not Graduate,No,37235,8948,422,120,0.0,Urban,N
LP100154,Female,No,2,Not Graduate,No,21156,22720,274,60,,Urban,N
LP100155,Female,No,1,Not Graduate,Yes,44355,14357,195,120,0.0,Semiurban,Y
LP100156,Male,No,1,Graduate,Yes,17059,8868,487,180,1.0,Urban,Y
LP100157,Female,No,3+,Not Graduate,Yes,38764,13759,163,360,0.0,Urban,N
LP100158,Female,No,2,Graduate,Yes,19276,26052,545,360,,Rural,N
LP100159,Male,No,1,Graduate,Yes,19996,17668,286,180,0.0,Urban,Y
LP100160,Female,No,0,Not Graduate,Yes,2539,5237,502,360,0.0,Urban,Y
LP100161,Male,No,1,Graduate,No,32523,27253,100,180,,Semiurban,Y
LP100162,Male,No,3+,Graduate,Yes,6495,8486,508,180,0.0,Rural,Y
LP100163,Female,Yes,0,Not Graduate,Yes,4348,23205,571,120,1.0,Semiurban,N
LP100164,Male,No,1,Not Graduate,Yes,46876,24600,179,360,0.0,Rural,Y
LP100165,Female,Yes,0,Graduate,Yes,43749,4932,63,120,1.0,Urban,N
LP100166,Female,No,3+,Graduate,Yes,22515,3938,530,180,0.0,Semiurban,Y
LP100167,Female,Yes,1,Not Graduate,No,3511,16065,482,60,1.0,Rural,Y
LP100168,Female,Yes,0,Not Graduate,Yes,2511,23520,384,120,1.0,Urban,N
LP100169,Male,No,0,Graduate,Yes,6177,5430,503,360,1.0,Semiurban,N
LP100170,Male,No,1,Not Graduate,Yes,23754,29713,499,360,0.0,Rural,Y
LP100171,Male,No,1,Not Graduate,No,24847,20013,565,120,1.0,Rural,Y
LP100172,Male,Yes,2,Graduate,Yes,27365,197,55,60,0.0,Urban,Y
LP100173,Male,Yes,3+,Graduate,No,13056,7337,599,360,0.0,Urban,Y
LP100174,Male,Yes,0,Not Graduate,Yes,41621,10782,175,60,0.0,Semiurban,Y
LP100175,Female,Yes,2,Graduate,No,17836,939,123,120,0.0,Rural,N
LP100176,Female,No,0,Not Graduate,No,30462,20565,530,60,0.0,Rural,N
LP100177,Female,No,1,Not Graduate,Yes,21723,4051,452,360,0.0,Rural,Y
LP100178,Female,No,1,Not Graduate,Yes,24272,5925,586,120,0.0,Rural,N
LP100179,Male,No,1,Graduate,No,23621,28346,224,120,0.0,Urban,N
LP100180,Female,No,3+,Not Graduate,Yes,8057,504,257,120,0.0,Semiurban,Y
LP100181,Female,Yes,2,Graduate,No,40440,6907,396,180,1.0,Semiurban,Y
LP100182,Female,No,1,Graduate,Yes,34016,25942,308,60,1.0,Semiurban,N
LP100183,Male,No,3+,Not Graduate,Yes,41171,14704,477,360,1.0,Rural,Y
LP100184,Female,No,3+,Not Graduate,No,21022,17217,100,360,,Rural,Y
LP100185,Female,Yes,2,Graduate,No,34984,29827,393,360,1.0,Urban,N
LP100186,Female,No,1,Graduate,Yes,19555,810,559,360,1.0,Semiurban,N
LP100187,Female,Yes,3+,Graduate,No,15181,10888,489,60,1.0,Semiurban,N
LP100188,Female,No,1,Not Graduate,No,48647,26749,206,360,1.0,Urban,N
LP100189,Female,Yes,3+,Graduate,No,28729,8248,648,360,1.0,Semiurban,N
LP100190,Male,Yes,1,Not Graduate,No,44718,13539,68,60,0.0,Semiurban,Y
LP100191,Male,Yes,0,Graduate,No,47747,10624,67,120,0.0,Urban,N
LP100192,Male,Yes,2,Graduate,Yes,28451,22786,422,120,,Semiurban,Y
LP100193,Female,Yes,0,Graduate,Yes,46027,21791,233,120,1.0,Rural,Y
LP100194,Male,Yes,2,Graduate,Yes,2775,19011,117,60,0.0,Semiurban,Y
LP100195,Male,No,2,Graduate,No,32038,12410,462,120,0.0,Urban,Y
LP100196,Male,Yes,1,Graduate,No,38611,13228,480,60,,Semiurban,Y
LP100197,Male,Yes,0,Not Graduate,No,9977,29586,68,180,0.0,Semiurban,Y
LP100198,Female,No,1,Not Graduate,Yes,29904,23477,53,180,1.0,Rural,N
LP100199,Female,No,1,Not Graduate,Yes,47563,8937,658,60,1.0,Semiurban,Y
LP100200,Male,Yes,1,Not Graduate,Yes,21612,26433,114,180,1.0,Rural,Y
LP100201,Male,No,2,Graduate,No,4478,11339,475,180,1.0,Urban,N
LP100202,Male,No,3+,Not Graduate,No,45563,3060,669,120,0.0,Urban,N
LP100203,Male,Yes,3+,Not Graduate,Yes,22127,20086,419,60,1.0,Rural,N
LP100204,Female,No,3+,Graduate,Yes,3895,17921,682,60,0.0,Semiurban,Y
LP100205,Male,No,0,Graduate,Yes,46055,13168,560,60,1.0,Rural,N
LP100206,Female,No,2,Not Graduate,No,25308,29875,503,180,1.0,Rural,Y
LP100207,Male,Yes,1,Not Graduate,Yes,19998,2572,678,120,0.0,Semiurban,Y
LP100208,Male,No,2,Graduate,Yes,38908,3923,115,60,0.0,Rural,Y
LP100209,Female,Yes,2,Not Graduate,No,2145,24557,98,120,1.0,Semiurban,Y
LP100210,Male,Yes,3+,Not Graduate,Yes,9530,24340,618,180,0.0,Semiurban,N
LP100211,Female,Yes,3+,Not Graduate,No,2548,3998,407,360,1.0,Urban,N
LP100212,Male,No,0,Graduate,Yes,23142,26087,579,180,1.0,Semiurban,N
LP100213,Male,Yes,1,Not Graduate,Yes,43639,3558,89,60,0.0,Rural,N
LP100214,Male,No,2,Not Graduate,No,8477,1338,384,60,1.0,Rural,N
LP100215,Female,No,1,Not Graduate,No,22366,28168,568,120,1.0,Semiurban,N
LP100216,Male,No,2,Graduate,No,19408,27927,443,360,1.0,Semiurban,N
LP100217,Male,Yes,2,Not Graduate,No,9409,9060,205,60,0.0,Urban,N
LP100218,Female,Yes,0,Graduate,Yes,48154,23881,131,120,0.0,Semiurban,N
LP100219,Female,No,1,Not Graduate,Yes,3376,27954,423,180,0.0,Semiurban,N
LP100220,Male,No,1,Not Graduate,No,31443,13803,595,120,1.0,Urban,Y
LP100221,Male,Yes,1,Graduate,Yes,33195,23033,630,180,1.0,Rural,Y
LP100222,Male,No,1,Graduate,No,20768,2098,663,180,0.0,Rural,N
LP100223,Male,No,1,Not Graduate,No,30442,28742,479,180,,Urban,Y
LP100224,Male,No,1,Not Graduate,No,21702,13699,585,60,1.0,Semiurban,Y
LP100225,Female,No,3+,Graduate,Yes,17175,23528,61,60,1.0,Urban,N
LP100226,Female,Yes,1,Not Graduate,No,46503,10503,604,360,0.0,Semiurban,N
LP100227,Male,Yes,1,Not Graduate,Yes,24177,29227,206,360,1.0,Semiurban,N
LP100228,Female,No,0,Graduate,Yes,9082,25600,417,180,0.0,Urban,Y
LP100229,Female,Yes,1,Not Graduate,No,11936,28520,245,360,,Semiurban,N
LP100230,Female,No,1,Graduate,No,15567,7777,315,120,0.0,Rural,Y
LP100231,Male,Yes,0,Graduate,Yes,9376,28841,438,120,1.0,Semiurban,N
LP100232,Female,No,3+,Graduate,No,18974,29035,231,60,,Urban,N
LP100233,Female,No,0,Graduate,Yes,31490,3569,493,60,0.0,Semiurban,N
LP100234,Male,No,2,Graduate,No,44843,2910,304,120,0.0,Semiurban,N
LP100235,Male,No,3+,Not Graduate,Yes,4940,1357,289,180,0.0,Semiurban,N
LP100236,Male,No,1,Graduate,Yes,22071,9734,140,360,0.0,Rural,Y
LP100237,Male,Yes,1,Graduate,No,39885,10080,521,60,1.0,Rural,Y
LP100238,Male,Yes,2,Graduate,No,3217,15190,483,60,0.0,Rural,N
LP100239,Male,No,2,Graduate,Yes,3317,1334,191,60,1.0,Rural,N
LP100240,Male,Yes,0,Graduate,Yes,31370,24624,333,120,0.0,Urban,N
LP100241,Male,No,0,Graduate,Yes,12660,28973,89,360,1.0,Semiurban,N
LP100242,Male,Yes,3+,Not Graduate,No,11746,11125,390,360,0.0,Rural,N
LP100243,Female,Yes,0,Not Graduate,Yes,29416,12806,284,180,0.0,Urban,N
LP100244,Male,Yes,2,Graduate,Yes,25715,12639,366,360,0.0,Semiurban,N
LP100245,Male,Yes,0,Not Graduate,Yes,15196,1207,114,120,1.0,Urban,Y
LP100246,Male,No,1,Not Graduate,Yes,41527,2997,140,180,0.0,Rural,Y
LP100247,Male,No,1,Graduate,Yes,11279,6572,491,360,0.0,Urban,Y
LP100248,Female,No,0,Graduate,No,3405,326,371,120,0.0,Urban,Y
LP100249,Male,No,0,Not Graduate,Yes,16043,15664,370,120,0.0,Rural,Y
LP100250,Male,No,2,Not Graduate,No,8916,311,376,360,0.0,Rural,Y
LP100251,Male,No,2,Not Graduate,Yes,24614,3654,379,180,0.0,Rural,N
LP100252,Male,No,0,Graduate,Yes,45642,27825,433,120,0.0,Rural,N
LP100253,Female,Yes,2,Not Graduate,Yes,33016,5806,539,120,1.0,Semiurban,N
LP100254,Male,Yes,0,Not Graduate,Yes,32736,10342,348,180,1.0,Semiurban,N
LP100255,Female,No,3+,Not Graduate,Yes,35202,8978,661,60,1.0,Semiurban,N
LP100256,Male,No,2,Graduate,Yes,37936,16354,223,60,0.0,Semiurban,N
LP100257,Male,Yes,1,Not Graduate,No,5184,1440,298,120,1.0,Rural,Y
LP100258,Male,No,0,Graduate,Yes,2540,12165,50,360,0.0,Urban,N
LP100259,Male,Yes,0,Not Graduate,No,31413,1170,98,360,,Urban,N
LP100260,Female,No,2,Graduate,Yes,28183,8814,200,360,0.0,Rural,N
LP100261,Female,Yes,1,Not Graduate,Yes,34143,10562,186,180,1.0,Semiurban,Y
LP100262,Male,Yes,3+,Graduate,No,12784,5319,98,360,1.0,Rural,Y
LP100263,Male,No,3+,Not Graduate,No,25475,16767,161,120,0.0,Urban,Y
LP100264,Male,No,1,Not Graduate,No,19076,17974,271,180,1.0,Rural,Y
LP100265,Male,Yes,2,Graduate,Yes,13614,10044,252,60,1.0,Semiurban,Y
LP100266,Male,Yes,2,Not Graduate,No,49082,22495,464,360,1.0,Rural,Y
LP100267,Female,No,0,Not Graduate,No,46126,20838,206,120,0.0,Rural,N
LP100268,Male,No,2,Not Graduate,No,27610,26585,647,360,0.0,Rural,N
LP100269,Male,Yes,3+,Not Graduate,Yes,18116,4526,154,60,0.0,Rural,Y
LP100270,Male,No,0,Graduate,No,30963,17985,571,360,1.0,Urban,N
LP100271,Female,No,0,Not Graduate,No,20469,14321,306,360,0.0,Urban,Y
LP100272,Female,Yes,2,Graduate,No,10044,24668,587,60,1.0,Semiurban,N
LP100273,Female,Yes,3+,Not Graduate,Yes,6477,28632,212,120,0.0,Urban,N
LP100274,Female,No,2,Graduate,No,12109,18768,437,60,1.0,Rural,N
LP100275,Male,Yes,2,Not Graduate,No,12646,672,445,360,1.0,Semiurban,N
LP100276,Male,No,2,Not Graduate,No,1327,18524,330,360,0.0,Rural,Y
LP100277,Male,No,1,Not Graduate,No,38341,4082,449,180,1.0,Rural,Y
LP100278,Male,No,0,Graduate,No,28679,3861,149,120,0.0,Urban,Y
LP100279,Male,Yes,0,Not Graduate,Yes,12668,6169,187,60,0.0,Semiurban,N
LP100280,Male,No,2,Graduate,Yes,4812,3948,666,180,0.0,Urban,N
LP100281,Female,Yes,1,Graduate,Yes,4312,5403,265,60,0.0,Semiurban,Y
LP100282,Male,No,3+,Graduate,No,42538,16752,236,360,1.0,Urban,Y
LP100283,Male,Yes,2,Graduate,No,35444,24601,647,180,0.0,Semiurban,N
LP100284,Male,Yes,0,Graduate,Yes,15187,20380,156,120,0.0,Semiurban,N
LP100285,Male,Yes,1,Not Graduate,Yes,26161,5657,266,180,1.0,Rural,Y
LP100286,Female,Yes,2,Graduate,Yes,28732,8730,113,180,0.0,Urban,N
LP100287,Male,Yes,3+,Graduate,Yes,36586,10190,516,120,0.0,Urban,Y
LP100288,Female,Yes,0,Not Graduate,Yes,21866,3184,109,180,1.0,Urban,N
LP100289,Male,Yes,0,Not Graduate,No,11316,14442,310,360,1.0,Semiurban,Y
LP100290,Female,No,3+,Graduate,Yes,30726,21172,633,180,0.0,Rural,Y
LP100291,Male,No,3+,Graduate,No,17926,25394,652,180,0.0,Semiurban,N
LP100292,Female,No,0,Not Graduate,No,34324,7850,244,360,1.0,Rural,N
LP100293,Female,No,3+,Graduate,Yes,5504,22874,530,360,1.0,Rural,Y
LP100294,Male,Yes,1,Graduate,No,36906,24145,116,180,0.0,Urban,N
LP100295,Female,No,2,Graduate,Yes,38524,16779,228,120,0.0,Urban,N
LP100296,Female,Yes,2,Not Graduate,Yes,41160,20236,322,360,0.0,Urban,Y
LP100297,Male,Yes,0,Not Graduate,Yes,12253,10224,329,360,1.0,Semiurban,Y
LP100298,Female,No,1,Not Graduate,No,35031,6577,523,360,0.0,Rural,N
LP100299,Female,No,3+,Not Graduate,Yes,32209,21640,679,360,1.0,Rural,N
LP100300,Female,No,0,Not Graduate,No,9495,1275,98,60,1.0,Urban,Y
LP100301,Male,Yes,1,Graduate,Yes,41514,23469,236,360,0.0,Semiurban,Y
LP100302,Male,Yes,3+,Not Graduate,No,32590,26855,306,360,0.0,Rural,N
LP100303,Male,No,3+,Not Graduate,No,40625,21921,79,120,0.0,Urban,N
LP100304,Female,No,0,Not Graduate,Yes,14070,28222,447,60,1.0,Rural,Y
LP100305,Female,Yes,3+,Graduate,Yes,14704,26077,522,60,1.0,Urban,N
LP100306,Female,Yes,1,Graduate,No,4602,10237,508,120,0.0,Urban,N
LP100307,Female,Yes,0,Graduate,No,4848,10880,177,360,0.0,Semiurban,N
LP100308,Female,No,1,Graduate,No,15699,10653,502,120,1.0,Rural,N
LP100309,Male,No,1,Graduate,Yes,28571,9679,645,60,0.0,Semiurban,Y
LP100310,Male,No,0,Not Graduate,No,9279,25728,609,360,0.0,Rural,N
LP100311,Female,Yes,3+,Graduate,No,8723,15115,615,360,0.0,Semiurban,Y
LP100312,Male,Yes,3+,Graduate,Yes,26443,19386,675,60,1.0,Semiurban,N
LP100313,Female,No,3+,Not Graduate,No,28760,12342,184,120,1.0,Rural,N
LP100314,Male,Yes,0,Not Graduate,Yes,39467,21934,559,120,0.0,Urban,N
LP100315,Male,No,2,Graduate,No,6197,10636,189,180,0.0,Rural,Y
LP100316,Male,No,0,Graduate,No,27344,11670,293,180,0.0,Semiurban,N
LP100317,Male,Yes,1,Not Graduate,Yes,26506,14963,104,180,1.0,Rural,N
LP100318,Female,No,0,Not Graduate,Yes,19870,2056,500,180,0.0,Semiurban,N
LP100319,Female,No,2,Graduate,Yes,39119,20919,252,180,0.0,Rural,N
